0.000000e+00  7.091415e-03  -8.721520e-03
3.920000e+01  5.347520e-01  -1.398332e-01  5.527323e-01
3.930000e+01  5.300749e-01  -1.368034e-01  5.474436e-01
3.940000e+01  5.255182e-01  -1.341181e-01  5.423625e-01
3.950000e+01  5.210957e-01  -1.317650e-01  5.374967e-01
3.960000e+01  5.168197e-01  -1.297358e-01  5.328546e-01
3.970000e+01  5.127024e-01  -1.280254e-01  5.284452e-01
3.980000e+01  5.087558e-01  -1.266314e-01  5.242785e-01
3.990000e+01  5.049919e-01  -1.255529e-01  5.203656e-01
4.000000e+01  5.014229e-01  -1.247892e-01  5.167178e-01
4.010000e+01  4.980612e-01  -1.243388e-01  5.133470e-01
4.020000e+01  4.949189e-01  -1.241988e-01  5.102647e-01
4.030000e+01  4.920082e-01  -1.243637e-01  5.074824e-01
4.040000e+01  4.893413e-01  -1.248257e-01  5.050113e-01
4.050000e+01  4.869305e-01  -1.255745e-01  5.028621e-01
4.060000e+01  4.847883e-01  -1.265976e-01  5.010456e-01
4.070000e+01  4.829279e-01  -1.278807e-01  4.995726e-01
4.080000e+01  4.813629e-01  -1.294081e-01  4.984543e-01
4.090000e+01  4.801078e-01  -1.311636e-01  4.977021e-01
4.100000e+01  4.791773e-01  -1.331309e-01  4.973276e-01
4.110000e+01  4.785864e-01  -1.352938e-01  4.973423e-01
4.120000e+01  4.783497e-01  -1.376369e-01  4.977573e-01
4.130000e+01  4.784810e-01  -1.401454e-01  4.985828e-01
4.140000e+01  4.789932e-01  -1.428056e-01  4.998279e-01
4.150000e+01  4.798976e-01  -1.456046e-01  5.015002e-01
4.160000e+01  4.812045e-01  -1.485301e-01  5.036060e-01
4.170000e+01  4.829228e-01  -1.515702e-01  5.061501e-01
4.180000e+01  4.850608e-01  -1.547126e-01  5.091365e-01
4.190000e+01  4.876268e-01  -1.579442e-01  5.125683e-01
4.200000e+01  4.906294e-01  -1.612504e-01  5.164484e-01
4.210000e+01  4.940781e-01  -1.646143e-01  5.207793e-01
